Naslov,Mesto,Doplacilo,Posta,Cena,Ime_lokala
Podbevškova ulica 11,NOVO MESTO,"2,84",1305,"5,53",PIZZERIA IN ŠPAGETTERIA CUBUS
Tržaška 79a,LJUBLJANA,"3,60",1423,"6,29",PIZZERIA LATERNA
Dečkova cesta 41,CELJE,"2,94",2661,"5,63",PIZZERIA OLIVA
Dečkova cesta 41,CELJE,"3,94",2660,"6,63",PIZZERIA OLIVA - DOSTAVA
Nazorjeva ulica 8,LJUBLJANA,"3,34",2165,"6,03",PIZZERIA OSMICA
Trg republike 2,LJUBLJANA,"3,74",2375,"6,43",PIZZERIA PARMA
Koroška cesta 60,MARIBOR,"2,14",1266,"4,83",PIZZERIA PRONTO
Miklošičeva cesta 22,LJUBLJANA,"0,00",1335,"2,69",PIZZERIA ŠESTINKA
Kandijska cesta 60,NOVO MESTO,"3,34",1334,"6,03",PIZZERIA TOTALKA
Karlovška cesta 5,LJUBLJANA,"3,84",1336,"6,53",PIZZERIA TUNNEL
Tomažičeva ulica 10,IZOLA/ISOLA,"3,21",1011,"5,90",PIZZERIA VILA RAINERI
Pečarjeva 1,ZAGORJE OB SAVI,"3,44",1861,"6,13",PIZZERIJA AŠIČ
Pečarjeva ulica 1,ZAGORJE OB SAVI,"3,94",2011,"6,63",PIZZERIJA AŠIČ - DOSTAVA
Čevljarska 8,KOPER/CAPODISTRIA,"3,24",1031,"5,93",PIZZERIJA ATRIJ
Obrtniška cesta 1,TRBOVLJE,"3,31",1716,"6,00",PIZZERIJA DIMNIK
Obrtniška cesta 1,TRBOVLJE,"3,81",1717,"6,50",PIZZERIJA DIMNIK - DOSTAVA
Ulica Marije Hvaličeve 6,LJUBLJANA,"4,31",1711,"7,00",PIZZERIJA ETNA - ITALIJANSKA KUHINJA
Koroška cesta 59,KRANJ,"2,71",1994,"5,40",PIZZERIJA GORENC
Cesta v Mestni log 55,LJUBLJANA,"3,44",1413,"6,13",PIZZERIJA IN OKREPČEVALNICA KONDOR
Stara cesta 25b,KRANJ,"3,44",2784,"6,13",PIZZERIJA IN ŠPAGETERIJA BUF KRANJ
Vojkova 71,LJUBLJANA,"3,94",1466,"6,63",PIZZERIJA PIRAMIDA
Šalek 24 a,VELENJE,"3,84",1176,"6,53",PIZZERIJA VELUN
Dravska ulica 8,MARIBOR,"2,51",2636,"5,20",PIZZERIJA VERDI
Kardeljeva ploščad 17,LJUBLJANA,"3,44",2565,"6,13",PODMORNICA
Poljanski nasip 2,LJUBLJANA,"2,91",1474,"5,60",PRAVNA FAKULTETA
Vodovodna cesta 90,LJUBLJANA,"3,44",2983,"6,13",PREHRANA BAR VO-KA
Dunajska 160,LJUBLJANA,"3,44",2753,"6,13",PREHRANA PALAČA SMELT
Prešernova cesta 55,IZOLA/ISOLA,"4,31",2204,"7,00",PRIMAVERA IZOLA
Prešernova cesta 55 ,IZOLA/ISOLA,"4,31",2205,"7,00",PRIMAVERA IZOLA-DOSTAVA
Preradovičeva ulica 33,MARIBOR,"2,44",1265,"5,13",PROMETNA ŠOLA MARIBOR
Slovenska 9,MARIBOR,"4,21",2325,"6,90",Q SLOVENSKA
Gorkega ulica 45,MARIBOR,"4,21",2651,"6,90",Q TABOR
